Origin,Country/territory of asylum,Procedure T,Procedure L,Pending start 2011,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Eritrea,Sweden,G,FI,522,1647,174,1020,123,52,1369,525,13.2,90.7,3.8,0.6
Eritrea,Switzerland4,G,FI,1147,3225,2577,315,78,481,3451,1234,86.8,97.4,13.9,7.6
Eritrea,Tunisia,U,FA,0,1049,982,0,*,57,1042,7,99.7,99.7,5.5,..
Eritrea,Uganda,G,FA,2433,1275,5,0,826,0,831,2877,0.6,0.6,0,18.2
Eritrea,United Kingdom,G,AR,140,202,102,0,106,11,219,127,49,49,5,-9.3
Eritrea,United Kingdom,G,FI,313,827,643,34,171,121,969,319,75.8,79.8,12.5,1.9
Eritrea,United States,G,EO,0,619,508,0,64,113,685,0,88.8,88.8,16.5,..
Eritrea,United States,G,IN,52,148,159,0,*,34,197,63,97.5,97.5,17.3,21.2
Eritrea,Yemen,U,FA,433,295,109,0,5,19,133,595,95.6,95.6,14.3,37.4
Ethiopia,Canada,G,FI,245,187,218,0,32,6,256,177,87.2,87.2,2.3,-27.8
Ethiopia,Djibouti,U,FI,367,1032,0,6,0,85,91,1308,0,100,93.4,256.4
Ethiopia,Egypt,U,FI,241,671,64,0,108,46,218,694,37.2,37.2,21.1,188
Ethiopia,Germany,G,,165,430,44,13,155,31,243,365,20.8,26.9,12.8,121.2
Ethiopia,Italy,G,FI,0,219,81,26,80,0,187,0,43.3,57.2,0,..
Ethiopia,Kenya,U,AR,734,2904,910,0,846,85,1841,1797,51.8,51.8,4.6,144.8
Ethiopia,Kenya,U,FI,13322,1630,2906,0,9,571,3486,11466,99.7,99.7,16.4,-13.9
Ethiopia,Malta,G,FI,0,113,10,14,78,0,102,11,9.8,23.5,0,..
Ethiopia,Mozambique,G,FI,94,681,*,0,0,0,*,774,100,100,0,723.4
Ethiopia,Norway,G,AR,310,460,14,20,399,22,455,324,3.2,7.9,4.8,4.5
Ethiopia,Norway,G,FI,556,293,152,43,219,58,472,393,36.7,47.1,12.3,-29.3
Ethiopia,South Africa,G,FI,0,12670,1663,0,7387,0,9050,3620,18.4,18.4,0,..
Ethiopia,South Sudan,U,FI,*,206,*,0,113,6,122,85,2.6,2.6,4.9,8400
Ethiopia,Sudan,G,FA,3125,214,158,0,7,*,167,3172,95.8,95.8,1.2,1.5
Ethiopia,Sudan,U,FI,41,121,27,0,5,43,75,87,84.4,84.4,57.3,112.2
Ethiopia,Sweden,G,AR,76,217,8,*,190,16,217,123,4,5.5,7.4,61.8
Ethiopia,Sweden,G,FI,92,269,47,26,198,16,287,72,17.3,26.9,5.6,-21.7
Ethiopia,Switzerland4,G,FI,142,184,50,34,40,46,170,226,40.3,67.7,27.1,59.2
Ethiopia,Tunisia,U,FA,0,325,256,0,34,0,290,35,88.3,88.3,0,..
Ethiopia,Uganda,G,FA,913,741,8,0,687,0,695,959,1.2,1.2,0,5
Ethiopia,United Kingdom,G,FI,35,127,36,6,67,12,121,49,33,38.5,9.9,40
Ethiopia,United States,G,EO,0,248,522,0,87,137,746,0,85.7,85.7,18.4,..
Ethiopia,United States,G,IN,205,818,516,0,66,268,850,267,88.7,88.7,31.5,30.2
Ethiopia,Yemen,U,FA,1764,4713,966,0,518,101,1585,4892,65.1,65.1,6.4,177.3
Fiji,Australia,G,AR,66,236,44,0,198,20,262,70,18.2,18.2,7.6,6.1
Fiji,Australia,G,FI,131,277,27,0,260,0,287,126,9.4,9.4,0,-3.8
Gambia,Germany,G,,174,155,11,*,181,21,217,125,5.6,7.7,9.7,-28.2
Gambia,Italy,G,FI,0,282,6,10,154,0,170,0,3.5,9.4,0,..
Gambia,Switzerland4,G,FI,67,295,0,0,17,247,264,152,0,0,93.6,126.9
Gambia,United Kingdom,G,AR,118,139,33,0,91,7,131,116,26.6,26.6,5.3,-1.7
Gambia,United Kingdom,G,FI,85,409,114,41,206,19,380,131,31.6,42.9,5,54.1
Gambia,United States,G,IN,42,293,70,0,6,178,254,91,92.1,92.1,70.1,116.7
Georgia,Austria,G,FA,643,261,11,39,511,62,623,410,2,8.9,10,-36.2
Georgia,Belgium,G,FI,287,347,*,0,134,26,161,378,0.7,0.7,16.1,31.7
Georgia,France,G,FI,0,1645,33,*,646,0,681,0,4.8,5.1,0,..
Georgia,Germany,G,,201,471,*,5,174,179,361,322,1.6,4.4,49.6,60.2
Georgia,Greece,G,FI,0,1121,0,9,1281,416,1706,0,0,0.7,24.4,..
Georgia,Latvia,G,FI,0,176,0,0,5,62,67,109,0,0,92.5,..
Georgia,Lithuania,G,FI,43,202,0,0,189,52,241,*,0,0,21.6,-90.7
Georgia,Netherlands,G,FI,183,189,0,*,224,0,227,139,0,1.3,0,-24
Georgia,Poland,G,FI,586,1427,0,*,552,1409,1965,378,0,0.7,71.7,-35.5
Georgia,Poland,G,RA,0,308,0,0,0,0,0,0,..,..,..,..
Georgia,Russian Fed.,G,FI,445,314,11,0,0,506,517,242,100,100,97.9,-45.6
Georgia,Russian Fed.,G,TA,89,312,286,0,0,95,381,20,100,100,24.9,-77.5
Georgia,Sweden,G,AR,95,132,0,*,175,11,189,50,0,1.7,5.8,-47.4
Georgia,Sweden,G,FI,71,280,*,*,129,20,153,117,2.3,3,13.1,64.8
Georgia,Switzerland4,G,FI,84,281,*,*,11,396,411,61,20,26.7,96.4,-27.4
Ghana,Germany,G,,107,271,0,*,179,35,215,153,0,0.6,16.3,43
Ghana,Greece,G,FI,0,271,0,*,119,9,129,0,0,0.8,7,..
Ghana,Israel,G,FI,550,143,0,0,38,0,38,655,0,0,0,19.1
Ghana,Italy,G,FI,0,3128,10,44,1449,0,1503,0,0.7,3.6,0,..
Ghana,South Africa,G,FI,0,1221,*,0,553,0,554,667,0.2,0.2,0,..
Ghana,Switzerland4,G,FI,58,172,0,0,*,215,219,79,0,0,98.2,36.2
Ghana,United Kingdom,G,FI,39,186,6,15,126,34,181,58,4.1,14.3,18.8,48.7
Guatemala,Canada,G,FI,619,261,139,0,234,26,399,480,37.3,37.3,6.5,-22.5
Guatemala,United States,G,EO,0,2105,182,0,985,2119,3286,0,15.6,15.6,64.5,..
Guatemala,United States,G,IN,362,1566,315,0,42,1236,1593,543,88.2,88.2,77.6,50
Guinea,Angola,G,FA,78,100,48,0,130,0,178,0,27,27,0,-100
Guinea,Belgium,G,FI,1531,2046,842,13,1143,58,2056,1806,42.1,42.8,2.8,18
Guinea,Belgium,G,RA,0,485,0,0,0,0,0,0,..,..,..,..
Guinea,Cameroon,U,FA,348,425,*,0,48,266,315,458,2,2,84.4,31.6
Guinea,France,G,FI,0,2033,115,187,1243,0,1545,0,7.4,19.5,0,..
Guinea,France,G,RA,0,173,0,0,0,0,0,0,..,..,..,..
Guinea,Germany,G,,135,281,40,*,114,22,180,246,25.3,27.8,12.2,82.2
Guinea,Greece,G,FI,0,110,*,8,25,7,41,0,2.9,26.5,17.1,..
Guinea,Italy,G,FI,0,517,33,22,246,0,301,0,11,18.3,0,..
Guinea,Liberia,J,FA,0,565,*,0,0,0,*,564,100,100,0,..
Guinea,Netherlands,G,FI,208,209,5,80,178,0,263,189,1.9,32.3,0,-9.1
Guinea,Spain,G,FI,159,150,*,*,156,12,170,0,0.6,1.3,7.1,-100
Guinea,Switzerland4,G,FI,86,295,7,*,21,262,294,146,21.9,34.4,89.1,69.8
Guinea,United States,G,IN,86,243,75,0,*,171,249,63,96.2,96.2,68.7,-26.7
Guinea-Bissau,Brazil,G,FI,6,104,0,0,24,0,24,86,0,0,0,1333.3
Guinea-Bissau,France,G,FI,0,160,10,*,170,0,183,0,5.5,7.1,0,..
Guinea-Bissau,Italy,G,FI,0,147,0,*,69,0,70,0,0,1.4,0,..
Guinea-Bissau,Switzerland4,G,FI,37,203,0,*,15,106,122,140,0,6.3,86.9,278.4
Guyana,France,G,FI,0,121,0,0,86,0,86,0,0,0,0,..
Haiti,Brazil,G,FI,592,4000,0,720,0,0,720,3872,0,100,0,554.1
Haiti,Canada,G,FI,3937,523,1440,0,1429,138,3007,1369,50.2,50.2,4.6,-65.2
Haiti,Ecuador,G,FA,639,173,*,0,225,5,232,101,0.9,0.9,2.2,-84.2
Haiti,France,G,FI,0,2016,78,39,1729,0,1846,0,4.2,6.3,0,..
Haiti,France,G,RA,0,229,0,0,0,0,0,0,..,..,..,..
Haiti,Peru,G,FI,*,176,5,0,0,102,107,72,100,100,95.3,2300
Haiti,United States,G,EO,0,584,61,0,158,845,1064,0,27.9,27.9,79.4,..
Haiti,United States,G,IN,199,793,541,0,59,268,868,161,90.2,90.2,30.9,-19.1
Honduras,Canada,G,FI,612,299,113,0,251,46,410,499,31,31,11.2,-18.5
Honduras,Mexico,G,FA,18,168,37,*,0,0,39,147,94.9,100,0,716.7
Honduras,United States,G,EO,0,1213,83,0,474,523,1080,0,14.9,14.9,48.4,..
Honduras,United States,G,IN,100,346,66,0,19,265,350,150,77.6,77.6,75.7,50
Hungary,Canada,G,FI,3534,4423,165,0,738,1087,1990,5975,18.3,18.3,54.6,69.1
India,Australia,G,AR,68,417,17,0,205,26,248,258,7.7,7.7,10.5,279.4
India,Australia,G,FI,160,769,14,0,495,0,509,185,2.8,2.8,0,15.6
India,Austria,G,FA,588,476,*,6,505,64,576,499,0.2,1.4,11.1,-15.1
India,Belgium,G,FI,52,157,*,0,119,20,141,31,1.7,1.7,14.2,-40.4
India,Canada,G,FI,1144,632,111,0,381,113,605,1173,22.6,22.6,18.7,2.5
India,Cyprus,G,AR,45,193,0,0,184,26,210,28,0,0,12.4,-37.8
India,Cyprus,G,FI,81,135,0,0,183,9,192,24,0,0,4.7,-70.4
India,Germany,G,,269,822,*,*,821,48,871,222,0.1,0.2,5.5,-17.5
India,Greece,G,FI,0,179,0,0,148,37,185,0,0,0,20,..
India,South Africa,G,FI,0,1159,0,0,644,0,644,515,0,0,0,..
India,United Kingdom,G,AR,86,113,16,0,85,8,109,101,15.8,15.8,7.3,17.4
India,United Kingdom,G,FI,181,615,1,18,372,243,634,186,0.3,4.9,38.3,2.8
India,United States,G,EO,0,1928,287,0,353,1070,1710,0,44.8,44.8,62.6,..
India,United States,G,IN,90,549,80,0,7,401,488,200,92,92,82.2,122.2
Indonesia,Australia,G,AR,50,132,5,0,137,5,147,42,3.5,3.5,3.4,-16
Indonesia,Australia,G,FI,41,174,11,0,156,0,167,33,6.6,6.6,0,-19.5
Indonesia,"Hong Kong SAR, China",U,FI,20,260,0,0,63,142,205,75,0,0,69.3,275
Indonesia,United States,G,IN,58,295,72,0,*,207,282,98,96,96,73.4,69
Iran (Islamic Rep. of),Australia,G,FI,298,2152,1181,0,859,0,2040,171,57.9,57.9,0,-42.6
Iran (Islamic Rep. of),Austria,G,FA,577,457,275,11,100,37,423,624,71.2,74.1,8.7,8.1
Iran (Islamic Rep. of),Belgium,G,FI,359,366,48,0,65,28,141,559,42.5,42.5,19.9,55.7
Iran (Islamic Rep. of),Belgium,G,RA,0,136,0,0,0,0,0,0,..,..,..,..
Iran (Islamic Rep. of),Canada,G,FI,517,318,329,0,44,33,406,429,88.2,88.2,8.1,-17
Iran (Islamic Rep. of),Cyprus,G,AR,321,137,0,0,276,58,334,124,0,0,17.4,-61.4
Iran (Islamic Rep. of),Denmark,G,FI,81,461,225,24,270,0,519,99,43.4,48,0,22.2
Iran (Islamic Rep. of),Finland,G,FI,93,125,23,32,32,32,119,141,26.4,63.2,26.9,51.6
Iran (Islamic Rep. of),France,G,FI,0,193,121,*,60,0,183,0,66.1,67.2,0,..
Iran (Islamic Rep. of),Germany,G,,1598,3352,1133,24,894,179,2230,2743,55.2,56.4,8,71.7
Iran (Islamic Rep. of),Germany,G,RA,366,422,236,39,19,193,487,308,80.3,93.5,39.6,-15.8
Iran (Islamic Rep. of),Greece,G,FI,0,247,6,5,102,24,137,0,5.3,9.7,17.5,..
Iran (Islamic Rep. of),Indonesia,U,FA,85,568,48,0,*,224,275,378,94.1,94.1,81.5,344.7
Iran (Islamic Rep. of),Iraq,U,FI,1678,596,25,0,0,11,36,2238,100,100,30.6,33.4
Iran (Islamic Rep. of),Italy,G,FI,0,217,126,18,78,0,222,0,56.8,64.9,0,..
Iran (Islamic Rep. of),Malaysia,U,FI,101,182,38,0,13,41,92,191,74.5,74.5,44.6,89.1
Iran (Islamic Rep. of),Netherlands,G,FI,682,929,171,363,606,0,1140,786,15,46.8,0,15.2
Iran (Islamic Rep. of),Netherlands,G,RA,0,253,0,0,0,0,0,0,..,..,..,..
Iran (Islamic Rep. of),Norway,G,AR,566,767,31,23,414,26,494,851,6.6,11.5,5.3,50.4
Iran (Islamic Rep. of),Norway,G,FI,258,355,120,14,285,88,507,126,28.6,32,17.4,-51.2
Iran (Islamic Rep. of),Sweden,G,AR,631,759,146,37,782,105,1070,515,15.1,19,9.8,-18.4
Iran (Islamic Rep. of),Sweden,G,FI,639,1120,378,67,759,70,1274,453,31.4,37,5.5,-29.1
Iran (Islamic Rep. of),Switzerland4,G,FI,395,326,84,68,36,118,306,533,44.7,80.9,38.6,34.9
Iran (Islamic Rep. of),Turkey,U,AR,867,846,595,0,174,770,1539,174,77.4,77.4,50,-79.9
Iran (Islamic Rep. of),Turkey,U,FI,1801,3411,2268,0,127,397,2792,2420,94.7,94.7,14.2,34.4
Iran (Islamic Rep. of),United Kingdom,G,AR,826,1148,376,0,800,75,1251,771,32,32,6,-6.7
Iran (Islamic Rep. of),United Kingdom,G,FI,629,3051,1147,126,1330,215,2818,933,44.1,48.9,7.6,48.3
Iran (Islamic Rep. of),United Kingdom,G,RA,0,108,*,6,*,*,13,0,18.2,72.7,15.4,..
Iran (Islamic Rep. of),United States,G,IN,76,499,336,0,15,65,416,191,95.7,95.7,15.6,151.3
Iraq,Australia,G,FI,184,490,434,0,235,0,669,227,64.9,64.9,0,23.4
Iraq,Austria,G,FA,912,484,202,187,269,71,729,893,30.7,59.1,9.7,-2.1
Iraq,Bahrain,U,FI,66,132,0,47,0,0,47,151,0,100,0,128.8
Iraq,Belgium,G,FI,589,2005,475,677,277,107,1536,853,33.2,80.6,7,44.8
Iraq,Belgium,G,RA,0,223,0,0,0,0,0,0,..,..,..,..
Iraq,Bulgaria,G,FA,559,344,6,119,180,127,432,366,2,41,29.4,-34.5
Iraq,Canada,G,FI,291,143,210,0,40,20,270,165,84,84,7.4,-43.3
Iraq,Cyprus,G,AR,137,134,0,8,110,20,138,133,0,6.8,14.5,-2.9
Iraq,Denmark,G,FI,16,115,*,10,74,0,85,13,1.2,12.9,0,-18.8
Iraq,Egypt,U,FI,1352,272,26,0,9,193,228,1396,74.3,74.3,84.6,3.3
Iraq,Finland,G,FI,379,588,40,356,58,283,737,394,8.8,87.2,38.4,4
Iraq,France,G,FI,0,254,154,*,87,0,242,0,63.6,64,0,..
Iraq,Germany,G,,1653,5831,2670,70,1963,294,4997,2546,56.8,58.3,5.9,54
Iraq,Germany,G,RA,171,377,110,27,27,191,355,202,67.1,83.5,53.8,18.1
Iraq,Greece,G,FI,0,257,10,*,218,87,318,0,4.3,5.6,27.4,..
Iraq,Indonesia,U,FA,398,316,41,0,5,415,461,253,89.1,89.1,90,-36.4
Iraq,Italy,G,FI,0,309,42,129,113,0,284,0,14.8,60.2,0,..
Iraq,Jordan,U,FA,1360,1143,201,0,331,506,1038,1465,37.8,37.8,48.7,7.7
Iraq,Kuwait,U,FI,794,131,0,0,0,166,166,759,..,..,100,-4.4
Iraq,Lebanon,U,FI,602,711,419,*,98,135,653,660,80.9,81.1,20.7,9.6
Iraq,Malaysia,U,FI,188,193,127,0,0,33,160,221,100,100,20.6,17.6
Iraq,Netherlands,G,FI,3025,1435,127,1117,1028,0,2272,1384,5.6,54.8,0,-54.2
Iraq,Netherlands,G,RA,0,572,0,0,0,0,0,0,..,..,..,..
Iraq,Norway,G,AR,879,641,9,43,753,58,863,629,1.1,6.5,6.7,-28.4
Iraq,Norway,G,FI,165,357,89,58,201,164,512,80,25.6,42.2,32,-51.5
Iraq,Sweden,G,AR,677,856,60,87,1259,202,1608,615,4.3,10.5,12.6,-9.2
Iraq,Sweden,G,FI,903,1633,590,397,909,118,2014,443,31.1,52.1,5.9,-50.9
Iraq,Switzerland4,G,FI,457,378,78,140,80,243,541,469,26.2,73.2,44.9,2.6
Iraq,Syrian Arab Rep.,U,AR,10,156,12,0,61,*,74,92,16.4,16.4,1.4,820
Iraq,Syrian Arab Rep.,U,FI,613,1418,136,*,293,801,1231,800,31.6,31.9,65.1,30.5
Iraq,Tunisia,U,FA,0,317,316,0,*,0,317,0,99.7,99.7,0,..
Iraq,Turkey,U,FI,479,7912,4484,0,25,261,4770,3621,99.4,99.4,5.5,655.9
Iraq,United Arab Emirates,U,FA,14,178,185,5,0,0,190,*,97.4,100,0,-85.7
Iraq,United Kingdom,G,AR,365,257,66,0,210,27,303,255,23.9,23.9,8.9,-30.1
Iraq,United Kingdom,G,FI,323,377,62,51,299,78,490,266,15,27.4,15.9,-17.6
Iraq,United States,G,EO,0,157,115,0,55,60,230,0,67.6,67.6,26.1,..
Iraq,United States,G,IN,122,329,230,0,27,60,317,175,89.5,89.5,18.9,43.4
Iraq,Yemen,U,FA,0,214,32,0,6,0,38,176,84.2,84.2,0,..
Israel,Canada,G,FI,650,168,31,0,303,106,440,386,9.3,9.3,24.1,-40.6
Jamaica,Canada,G,FI,520,332,169,0,211,54,434,417,44.5,44.5,12.4,-19.8
Jamaica,United Kingdom,G,FI,89,147,24,26,103,22,175,87,15.7,32.7,12.6,-2.2
Jamaica,United States,G,EO,0,278,9,0,170,132,311,0,5,5,42.4,..
Jamaica,United States,G,IN,27,120,43,0,0,62,105,32,100,100,59,18.5
Kazakhstan,Belgium,G,FI,99,181,*,0,21,15,37,212,4.5,4.5,40.5,114.1
Kazakhstan,France,G,FI,0,144,9,0,86,0,95,0,9.5,9.5,0,..
Kazakhstan,Sweden,G,AR,166,257,0,6,306,45,357,112,0,1.9,12.6,-32.5
Kazakhstan,Sweden,G,FI,116,299,6,16,250,37,309,95,2.2,8.1,12,-18.1
Kazakhstan,United States,G,IN,13,129,46,0,6,60,112,48,88.5,88.5,53.6,269.2
Kenya,Germany,G,,70,172,*,6,90,16,115,133,3,9.1,13.9,90
Kenya,South Africa,G,FI,0,275,6,0,146,0,152,123,3.9,3.9,0,..
Kenya,United Kingdom,G,FI,41,135,23,11,92,15,141,47,18.3,27,10.6,14.6
Kenya,United States,G,EO,0,104,90,0,115,107,312,0,43.9,43.9,34.3,..
Kenya,United States,G,IN,79,243,91,0,23,140,254,101,79.8,79.8,55.1,27.8
Kyrgyzstan,Belgium,G,FI,98,122,0,0,*,8,12,270,0,0,66.7,175.5
Kyrgyzstan,France,G,FI,0,112,*,*,83,0,89,0,4.5,6.7,0,..
Kyrgyzstan,Sweden,G,AR,181,384,*,8,274,68,353,235,1.1,3.9,19.3,29.8
Kyrgyzstan,Sweden,G,FI,261,350,*,16,387,34,438,107,0.2,4.2,7.8,-59
Kyrgyzstan,Turkey,U,FI,245,169,*,0,0,108,109,305,100,100,99.1,24.5
Kyrgyzstan,Ukraine,G,JR,*,137,0,*,44,25,70,70,0,2.2,35.7,2233.3
Kyrgyzstan,United States,G,IN,44,283,107,0,29,155,291,69,78.7,78.7,53.3,56.8
Lebanon,Australia,G,AR,29,136,42,0,68,*,114,64,38.2,38.2,3.5,120.7
Lebanon,Australia,G,FI,105,158,36,0,149,0,185,67,19.5,19.5,0,-36.2
Lebanon,Canada,G,FI,272,122,76,0,89,14,179,212,46.1,46.1,7.8,-22.1
Lebanon,Germany,G,,89,405,*,0,248,57,308,189,1.2,1.2,18.5,112.4
Lebanon,Sweden,G,AR,78,158,*,9,176,19,206,72,1.1,5.9,9.2,-7.7
Lebanon,Sweden,G,FI,86,177,5,16,155,22,198,64,2.8,11.9,11.1,-25.6
Lesotho,South Africa,G,FI,0,185,0,0,27,0,27,158,0,0,0,..
Liberia,Côte d'Ivoire,J,FA,75,557,*,0,169,0,171,461,1.2,1.2,0,514.7
Liberia,Guinea,G,FA,327,192,65,0,93,0,158,361,41.1,41.1,0,10.4
Liberia,Sudan,G,FA,29,151,0,0,92,64,156,24,0,0,41,-17.2
Libya,Australia,G,FI,12,200,13,0,10,0,23,161,56.5,56.5,0,1241.7
Libya,Canada,G,FI,74,182,32,0,21,24,77,178,60.4,60.4,31.2,140.5
Libya,France,G,FI,0,151,*,0,22,0,24,0,8.3,8.3,0,..
Libya,Germany,G,,20,170,*,0,*,37,43,144,33.3,33.3,86,620
Libya,Italy,G,FI,0,344,11,56,77,0,144,0,7.6,46.5,0,..
Libya,Netherlands,G,FI,107,136,*,8,59,0,71,211,5.6,16.9,0,97.2
Libya,Norway,G,FI,11,139,0,0,16,66,82,67,0,0,80.5,509.1
Libya,Serbia (and Kosovo: S/RES/1244 (1999)),J,FI,0,139,0,0,*,135,136,*,0,0,99.3,..
Libya,Sweden,G,AR,124,199,*,26,152,53,232,176,0.6,15.1,22.8,41.9
Libya,Sweden,G,FI,122,402,12,94,204,105,415,76,3.9,34.2,25.3,-37.7
Libya,Switzerland4,G,FI,15,243,16,0,0,166,182,94,100,100,91.2,526.7
Libya,United Kingdom,G,AR,41,411,92,0,247,45,384,258,27.1,27.1,11.7,529.3
Libya,United Kingdom,G,FI,23,1204,121,66,721,116,1024,200,13.3,20.6,11.3,769.6
Libya,United States,G,IN,0,164,52,0,30,50,132,37,63.4,63.4,37.9,..
Madagascar,France,G,FI,0,145,9,0,139,0,148,0,6.1,6.1,0,..
Malawi,South Africa,G,FI,0,3774,*,0,1018,0,1020,2754,0.2,0.2,0,..
Malawi,United Kingdom,G,FI,55,196,7,23,138,9,177,77,4.2,17.9,5.1,40
Malaysia,Australia,G,AR,41,116,*,0,108,10,119,40,0.9,0.9,8.4,-2.4
Malaysia,Australia,G,FI,45,182,5,0,160,0,165,34,3,3,0,-24.4
Mali,France,G,FI,0,739,8,379,135,0,522,0,1.5,74.1,0,..
Mali,Italy,G,FI,0,2582,5,17,1233,0,1255,0,0.4,1.8,0,..
Mali,United States,G,IN,44,277,52,0,17,209,278,55,75.4,75.4,75.2,25
Mauritania,Belgium,G,FI,128,125,19,0,115,8,142,167,14.2,14.2,5.6,30.5
Mauritania,France,G,FI,0,1157,38,17,1225,0,1280,0,3,4.3,0,..
Mauritania,France,G,RA,0,234,0,0,0,0,0,0,..,..,..,..
Mexico,Canada,G,FI,9322,763,1042,0,4184,884,6110,3997,19.9,19.9,14.5,-57.1
Mexico,United States,G,EO,0,3526,107,0,1210,2961,4278,0,8.1,8.1,69.2,..
Mexico,United States,G,IN,597,4778,230,0,7,3903,4140,1311,97,97,94.3,119.6
Mongolia,Austria,G,FA,632,125,*,23,342,41,409,411,0.8,7.1,10,-35
Mongolia,France,G,FI,0,202,8,*,182,0,192,0,4.2,5.2,0,..
Mongolia,Netherlands,G,FI,174,128,*,*,148,0,151,84,0.7,2,0,-51.7
Mongolia,Sweden,G,AR,335,670,*,8,550,80,639,385,0.2,1.6,12.5,14.9
Mongolia,Sweden,G,FI,294,773,*,16,747,49,813,224,0.1,2.2,6,-23.8
Mongolia,United States,G,IN,33,137,70,0,7,103,180,34,90.9,90.9,57.2,3
Montenegro,France,G,FI,0,194,0,0,76,0,76,0,0,0,0,..
Montenegro,Luxembourg,G,FI,0,100,0,0,35,0,35,0,0,0,0,..
Montenegro,Sweden,G,FI,8,118,*,5,92,0,99,33,2,7.1,0,312.5
Morocco,Austria,G,FA,83,313,0,0,205,59,264,145,0,0,22.3,74.7
Morocco,France,G,FI,0,120,14,0,76,0,90,0,15.6,15.6,0,..
Morocco,Germany,G,,83,307,*,*,238,41,284,122,1.2,2.1,14.4,47
Morocco,Greece,G,FI,0,161,0,*,84,25,110,0,0,1.2,22.7,..
Morocco,Italy,G,FI,0,265,8,*,157,0,169,0,4.7,7.1,0,..
Morocco,Romania,G,FA,10,233,0,0,202,8,210,33,0,0,3.8,230
Morocco,Sweden,G,FI,43,154,*,10,76,26,113,54,1.1,12.6,23,25.6
Morocco,Switzerland4,G,FI,55,429,*,0,23,349,373,185,4.2,4.2,93.6,236.4
Mozambique,South Africa,G,FI,0,560,0,0,219,0,219,341,0,0,0,..
Myanmar,India,U,FI,3336,2488,2471,0,59,512,3042,2782,97.7,97.7,16.8,-16.6
Myanmar,Indonesia,U,FA,12,247,55,0,0,92,147,112,100,100,62.6,833.3
Myanmar,Japan5,G,AR,669,444,12,60,377,70,459,654,2.7,16,15.3,-2.2
Myanmar,Japan5,G,FI,275,491,6,136,583,15,604,162,0.8,19.6,2.5,-41.1
Myanmar,Malaysia,U,AR,155,922,334,0,117,0,451,626,74.1,74.1,0,303.9
Myanmar,Malaysia,U,FI,8398,13701,10855,0,974,3548,15377,6722,91.8,91.8,23.1,-20
Myanmar,Thailand,G,FA,8962,11894,0,0,0,8461,8461,12395,..,..,100,38.3
Myanmar,United Kingdom,G,FI,23,193,98,*,81,*,183,33,54.1,55.2,1.1,43.5
Myanmar,United States,G,IN,32,219,139,0,13,61,213,62,91.4,91.4,28.6,93.8
Namibia,Canada,G,FI,335,859,65,0,48,26,139,1055,57.5,57.5,18.7,214.9
Nepal,Australia,G,AR,26,142,15,0,73,6,94,78,17,17,6.4,200
Nepal,Australia,G,FI,74,271,17,0,171,0,188,145,9,9,0,95.9
Nepal,Belgium,G,FI,153,403,0,0,17,*,21,446,0,0,19,191.5
Nepal,Cyprus,G,AR,38,156,0,0,132,26,158,36,0,0,16.5,-5.3
Nepal,Cyprus,G,FI,39,102,0,*,125,5,131,10,0,0.8,3.8,-74.4
Nepal,Japan5,G,AR,0,191,0,0,20,0,20,171,0,0,0,..
Nepal,Japan5,G,FI,102,251,0,*,208,16,224,129,0,0.5,7.1,26.5
Nepal,Netherlands,G,FI,87,132,10,35,84,0,129,124,7.8,34.9,0,42.5
Nepal,United States,G,EO,0,208,372,0,178,170,720,0,67.6,67.6,23.6,..
Nepal,United States,G,IN,179,1113,351,0,98,491,940,423,78.2,78.2,52.2,136.3
Nicaragua,United States,G,EO,0,253,21,0,106,146,273,0,16.5,16.5,53.5,..
Niger,Italy,G,FI,0,563,*,10,181,0,193,0,1,6.2,0,..
Nigeria,Algeria,U,FI,35,143,0,0,30,55,85,93,0,0,64.7,165.7
Nigeria,Austria,G,FA,1200,414,15,47,774,127,963,971,1.8,7.4,13.2,-19.1
Nigeria,Belgium,G,FI,43,165,8,0,106,5,119,49,7,7,4.2,14
Nigeria,Canada,G,FI,1552,696,840,0,422,74,1336,913,66.6,66.6,5.5,-41.2
Nigeria,Finland,G,FI,39,105,0,17,31,79,127,42,0,35.4,62.2,7.7
Nigeria,France,G,FI,0,802,7,22,654,0,683,0,1,4.2,0,..
Nigeria,France,G,RA,0,112,0,0,0,0,0,0,..,..,..,..
Nigeria,Germany,G,,470,759,29,43,557,95,724,540,4.6,11.4,13.1,14.9
Nigeria,Greece,G,FI,0,362,0,*,329,148,478,0,0,0.3,31,..
Nigeria,Ireland,G,AR,298,215,5,0,264,24,293,220,1.9,1.9,8.2,-26.2
Nigeria,Ireland,G,FI,101,205,*,0,227,42,271,35,0.9,0.9,15.5,-65.3
Nigeria,Ireland,G,SP,532,135,0,0,230,0,230,437,0,0,0,-17.9
Nigeria,Israel,G,FI,1365,200,0,0,61,0,61,1504,0,0,0,10.2
Nigeria,Italy,G,FI,0,6208,41,138,2958,0,3137,0,1.3,5.7,0,..
Nigeria,Malta,G,AR,246,217,*,0,18,0,19,444,5.3,5.3,0,80.5
Nigeria,Malta,G,FI,0,246,*,*,240,*,247,0,0.4,1.2,1.6,..
