Country/territory of asylum,Cases/Persons App.,Cases/Persons Dec.,Procedure T,Procedure L,Pending start 2011,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Ukraine,P,P,U,FI,212,168,99,0,42,65,206,174,70.2127659574468,70.2127659574468,31.55339805825243,-17.92452830188679
Ukraine,C,P,G,JR,1424,1170,15,13,158,229,415,2179,8.064516129032258,15.053763440860216,55.18072289156627,53.019662921348306
United Arab Emirates,P,P,U,FA,86,216,198,5,12,42,257,45,92.09302325581396,94.41860465116278,16.342412451361866,-47.674418604651166
United Kingdom,P,P,G,FI,7239,25898,5493,1689,14670,3548,25400,8857,25.13728720483251,32.8665568369028,13.968503937007872,22.351153474236774
United Kingdom,P,P,G,RA,0,994,21,31,47,105,204,0,21.21212121212121,52.52525252525253,51.470588235294116,..
United Kingdom,C,C,G,AR,7642,9980,2785,0,7085,651,10521,8050,28.216818642350557,28.216818642350557,6.187624750499002,5.33891651400157
United Rep. of Tanzania,P,P,J,FI,1247,433,13,0,5,957,975,705,72.22222222222221,72.22222222222221,98.15384615384616,-43.464314354450686
United States5,P,P,G,EO,0,22062,12114,0,10735,19722,42571,0,53.017637533371264,53.017637533371264,46.32731201991967,..
United States,C,C,G,IN,6285,38525,11398,0,1206,22793,35397,11721,90.43160901301174,90.43160901301174,64.39246263807668,86.49164677804296
Uruguay,P,P,G,FI,40,20,1,0,1,7,9,51,50,50,77.77777777777779,27.500000000000004
Vanuatu,P,P,U,FI,0,2,0,0,0,0,0,2,..,..,..,..
Venezuela (Bolivarian Republic of),P,P,G,FI,15858,3176,497,0,1165,3,1665,17369,29.90373044524669,29.90373044524669,0.18018018018018017,9.528313784840458
Yemen,P,P,U,FA,2557,5353,1191,0,532,309,2032,5878,69.12362159024956,69.12362159024956,15.206692913385828,129.87876417676964
Zambia,P,P,G,FI,325,945,203,0,39,7,249,1021,83.88429752066115,83.88429752066115,2.8112449799196786,214.15384615384613
Zimbabwe,P,P,G,FI,411,1043,0,157,156,364,677,777,0,50.159744408945684,53.76661742983752,89.05109489051095
